ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5922,Lamantin - Community-based mangrove conservation and restoration in Guinea,Blue Coast Carbon,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007; VM0033,Under development,Guinea,"80,000",Africa,,,
5923,Balbuzard - Community-based mangrove conservation and restoration in Guinea,Blue Coast Carbon,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007; VM0033,Under development,Guinea,"118,000",Africa,,,
5918,Family Forest Carbon Program - Fields & Forests,Family Forest Impact Foundation,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United States,"21,922",North America,,13/11/2023,12/11/2063
5919,Family Forest Carbon Program - North,Family Forest Impact Foundation,Agriculture Forestry and Other Land Use,IFM,VM0045,Under development,United States,"100,000",North America,,25/03/2024,24/03/2044
5908,Electric Mobility Program Colombia,Grutter Consulting AG,Transport,,VM0038,Under validation,Colombia,"596,272",,,01/01/2026,31/12/2035
5896,Project Sierra Verde,Arkadiah Technology Pte. Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Philippines,"64,788",Asia,,,
5897,HARIT BHARAT - TELANGANA,Iora Ecological Solutions Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"1,892,926",Asia,,20/01/2023,19/01/2053
5895,BigCoast Forest Climate Initiative Haida Gwaii,Mosaic Forest Management Corporation,Agriculture Forestry and Other Land Use,IFM,VM0012,Under validation,Canada,"49,688",North America,,01/01/2018,31/12/2047
5893,Processing of Municipal Solid Waste (Organic Wet Waste) through Black Soldier Fly Technology,MUKKA PROTEINS LIMITED,Waste handling and disposal,,ACM0022,Under validation,India,"58,940",Asia,,07/07/2025,06/07/2035
5891,Forest Landscape Restoration in North Sulawesi Province,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Indonesia,"158,764",Asia,,01/01/2025,31/12/2064
5888,Developing Voluntary Carbon Market Projects for Tree Plantations in the State of Assam,Assam Environment and Forest Department (AEFD),Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"54,765",Asia,,01/07/2023,30/06/2063
5889,Cabeceira do Xingu REDD Project,CABECEIRA DO XINGU LTDA,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,"55,041",Latin America,,05/08/2025,04/08/2065
5890,AgriCapture South Asia Rice Methane Project,AgriCapture,Agriculture Forestry and Other Land Use,ALM,VM0051,Under development,India,"566,547",Asia,,01/01/2026,31/12/2032
5883,Guizhou Qinglong CMM Phase IV Power Generation Project,"Guizhou Qianxi Energy Development Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,"282,722",Asia,,01/05/2024,30/04/2034
5884,Guizhou Zhongxin CMM Power Generation Project,"Baili Dujuan Yuekai New Energy Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,"176,885",Asia,,11/06/2024,10/06/2034
5885,Guizhou Anshun CMM Power Generation Project,"Goldchina Consultancy International Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,"316,835",Asia,,01/10/2024,30/09/2034
5886,Guizhou Jiangxi CMM Power Generation Project,Guizhou Luzhong Mining Co. LTD.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,"128,033",Asia,,15/06/2024,14/06/2034
5887,Bell Enviro -Malaysia Integrated Municipal Solid Waste Recovery and Processing Project,Climate Quest Sdn Bhd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,Malaysia,"187,129",Asia,,,
5878,GEOPOLY Geopolymer Cement Project in Jiaozuo,"Jiaozuo GEOPOLY New Materials Co., Ltd.",Construction,,VMR0012,Under validation,China,"190,740",Asia,,10/05/2023,09/05/2030
5879,Amazon Forest Landscape Restoration - Outgrowers Component,Amazon Restoration Company S.A.C.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Peru,"5,115",Latin America,,01/01/2025,31/12/2064
5880,Electric Mobility Program Peru VCS,Grutter Consulting AG,Transport,,VMR0014; VM0038,Under validation,Peru,"277,445",Latin America,,01/01/2026,31/12/2035
5876,Kablaki Agroforestry for Small Farmers Program,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Timor-Leste,"72,103",Asia,,,
5877,Sierra Leone PRIDO ARR-Agroforestry Program,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Sierra Leone,"80,003",Africa,,,
5871,"Biogas Plant at Gujjar Colony, Lahore",Punjab Power Development Company Limited (PPDCL),Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,Pakistan,"39,186",Asia,,01/01/2026,31/12/2035
5872,Project Aranyam: Building Climate Resilient Communities in Maharashtra and Gujarat Through Agroforestry Practices,Clean Max Aranyam Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"297,033",Asia,,01/07/2024,30/06/2044
5860,Ningxia Junfeng Siguquan Coal Mine Well No.2 CMM Heating Project,"Ningxia Junfeng New Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"111,399",Asia,,08/10/2024,07/10/2034
5861,South African Electrification Programme,Motion Energy Group Pty Ltd,Transport,,VM0038,Under development,South Africa,"142,110",Africa,,28/11/2024,27/11/2031
