company_name,country,region
Rainforest Builder Ltd.,United Kingdom,Europe
Tree Aid,United Kingdom,Europe
OYU Green Private Limited,United Kingdom,Europe
Multiple Proponents,United Kingdom,Europe
Ubá Sustainability Institute,United Kingdom,Europe
eAgronom OÜ,United Kingdom,Europe
CLIMATE IMPACT PARTNERS (PROJECT PANNA) LIMITED,United Kingdom,Europe
Cambium Earth S.L.,United Kingdom,Europe
Land Life Company B.V.,United Kingdom,Europe
"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",United Kingdom,Europe
Value Network Ventures PTE. LTD.,United Kingdom,Europe
SYMBIOSIS INVESTIMENTOS E PARTICIPACOES S.A.,United Kingdom,Europe
Vista Energy Argentina SAU,United Kingdom,Europe
Trees for the Future Inc.,United Kingdom,Europe
Archipel India Foundation,United Kingdom,Europe
Innov X,United Kingdom,Europe
Value Network Ventures Advisory Services PTE. LTD,United Kingdom,Europe
Forest Carbon Works PBC,United Kingdom,Europe
INOCAS,United Kingdom,Europe
Carbon Friendly Pty Ltd.,United Kingdom,Europe
"Damao Banner Eco-Construction Investment Co., Ltd.",United Kingdom,Europe
Aurum Sustainable Forest Inc.,United Kingdom,Europe
CARBON CREDITS CONSULTING S.R.L.,United Kingdom,Europe
Tata Communications Limited,United Kingdom,Europe
BRCARBON SERVICOS AMBIENTAIS LTDA,United Kingdom,Europe
ITC Limited,United Kingdom,Europe
Agreena ApS,United Kingdom,Europe
Systemica Inteligência em Sustentabilidade S.A.,United Kingdom,Europe
Family Forest Impact Foundation,United Kingdom,Europe
Involtor AgriCarbon LLC,United Kingdom,Europe
The Nature Conservancy,United Kingdom,Europe
Perimeter Forest Limited Partnership,United Kingdom,Europe
Boomitra Inc,United Kingdom,Europe
Re.Green Participações S.A.,United Kingdom,Europe
NaturAll Carbon Limited,United Kingdom,Europe
IPE - Instituto de Pesquisas Ecológicas,United Kingdom,Europe
ECOBASE (PROJECT SPRUCE OÜ),United Kingdom,Europe
Soil-Carbon Certification Services,United Kingdom,Europe
Vlinder Austria GmbH,United Kingdom,Europe
AgriCapita Innotech Private Limited,United Kingdom,Europe
Agoro Carbon Alliance US Inc.,United Kingdom,Europe
"EcoPlanet Bamboo Group, LLC",United Kingdom,Europe
NIDEPORT SOCIEDAD ANONIMA,United Kingdom,Europe
Bugnavilla SAS,United Kingdom,Europe
Udzungwa Corridor Limited,United Kingdom,Europe
Greenovation Sustainability Solutions Private Limited,United Kingdom,Europe
Indian Farm Forestry Development Co-operative Ltd.,United Kingdom,Europe
Greenply Industries Limited (GIL),United Kingdom,Europe
Infinite Environmental Solutions Limited,United Kingdom,Europe
Shivbhadra Agro Private LTD,United Kingdom,Europe
Conservation South Africa,United Kingdom,Europe
Matthias Graf von Westphalen,United Kingdom,Europe
Orizon Agriculture (Pty) Ltd,United Kingdom,Europe
Suzano SA,United Kingdom,Europe
National Forestry and Grassland Administration Northwest Investigation and Planning Institute,United Kingdom,Europe
The Green Branch,United Kingdom,Europe
Fundatia Conservation Carpathia,United Kingdom,Europe
Core CarbonX Solutions Private Limited,United Kingdom,Europe
GAIA s.r.l. Societa Agricola,United Kingdom,Europe
Decarbonology Pty Ltd,United Kingdom,Europe
ReforesTerra – Restauração de Ecossistemas Florestais Ltda,United Kingdom,Europe
Future Climate Ltd,United Kingdom,Europe
Mosaic Forest Management Corporation,United Kingdom,Europe
"Native, a Public Benefit Corporation",United Kingdom,Europe
Pike Carbosur S.A.,United Kingdom,Europe
Acacia Bateke Capital,United Kingdom,Europe
"Hangzhou Chunmeng Agricultural Technology Co., Ltd",United Kingdom,Europe
CarbonSinkGroup S.R.L.,United Kingdom,Europe
Future Carbon International LLC,United Kingdom,Europe
Burqin Jinhua Urban Construction and Investment Co.Ltd.,United Kingdom,Europe
CropZone Agro Forestry Private Limited,United Kingdom,Europe
WeForest ASBL,United Kingdom,Europe
Worldview International Foundation,United Kingdom,Europe
"Saving Nature, Inc.",United Kingdom,Europe
Zhangye Academy of Forestry Sciences,United Kingdom,Europe
El Retiro S.A.,United Kingdom,Europe
"Alongshan Forest Industry Co. LTD, China Inner Mongolia Forest Industry Group",United Kingdom,Europe
WeAct Pty Ltd.,United Kingdom,Europe
Beatris Tormena Fabris Gradela Ltda.,United Kingdom,Europe
"Guizhou Qianhe Carbon Technology Co., Ltd",United Kingdom,Europe
Norteak Nicaragua S.A.,United Kingdom,Europe
Komaza Group Inc.,United Kingdom,Europe
Tombwe Processing Limited,United Kingdom,Europe
UNITAN SAICA,United Kingdom,Europe
Quadriz Paraguay S.A.,United Kingdom,Europe
